bigg_id,name,reaction_string,ec_numbers
EX_ca2_e,Calcium exchange,ca2_e <-> ,3.6.3.8
23PDE2pp,"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)",23cump_p + h2o_p <-> 3ump_p + h_p,3.1.4.16
23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",23cgmp_p + h2o_p <-> 3gmp_p + h_p,3.1.4.16
3HAD121,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1),3hcddec5eACP_c <-> h2o_c + t3c5ddeceACP_c,4.2.1.61
3HAD160,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),3hpalmACP_c <-> h2o_c + tpalm2eACP_c,2.3.1.-; 2.3.1.85; 2.3.1.86; 4.2.1.59; 4.2.1.61
3HAD161,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1),3hcpalm9eACP_c <-> h2o_c + t3c9palmeACP_c,4.2.1.61
3HAD180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),3hoctaACP_c <-> h2o_c + toctd2eACP_c,2.3.1.-; 4.2.1.-; 4.2.1.61
3HAD80,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),3hoctACP_c <-> h2o_c + toct2eACP_c,2.3.1.-; 2.3.1.85; 2.3.1.86; 4.2.1.58; 4.2.1.59; 4.2.1.61
3KGK,3-keto-L-gulonate kinase,3dhguln_c + atp_c <-> 3dhgulnp_c + adp_c + h_c,2.7.1.53
3NTD2pp,3'-nucleotidase (UMP) (periplasm),3ump_p + h2o_p <-> pi_p + uri_p,3.1.3.6
3NTD9pp,3'-nucleotidase (GMP) (periplasm),3gmp_p + h2o_p <-> gsn_p + pi_p,3.1.3.6
3OAR120,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),3oddecACP_c + h_c + nadph_c <-> 3hddecACP_c + nadp_c,1.1.1.100; 2.3.1.-; 2.3.1.85; 2.3.1.86
3OAR121,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1),3ocddec5eACP_c + h_c + nadph_c <-> 3hcddec5eACP_c + nadp_c,1.1.1.100
3OAR141,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1),3ocmrs7eACP_c + h_c + nadph_c <-> 3hcmrs7eACP_c + nadp_c,1.1.1.100
3OAR160,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),3opalmACP_c + h_c + nadph_c <-> 3hpalmACP_c + nadp_c,1.1.1.100; 2.3.1.-; 2.3.1.85; 2.3.1.86
3OAR161,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1),3ocpalm9eACP_c + h_c + nadph_c <-> 3hcpalm9eACP_c + nadp_c,1.1.1.100
3OAR180,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),3ooctdACP_c + h_c + nadph_c <-> 3hoctaACP_c + nadp_c,1.1.1.100
3OAS100,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0),h_c + malACP_c + ocACP_c <-> 3odecACP_c + ACP_c + co2_c,2.3.1.86
3OAS120,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0),dcaACP_c + h_c + malACP_c <-> 3oddecACP_c + ACP_c + co2_c,2.3.1.86
3OAS140,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),ddcaACP_c + h_c + malACP_c <-> 3omrsACP_c + ACP_c + co2_c,2.3.1.86
3OAS161,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1),h_c + malACP_c + tdeACP_c <-> 3ocpalm9eACP_c + ACP_c + co2_c,2.3.1.41
3OAS60,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0),butACP_c + h_c + malACP_c <-> 3ohexACP_c + ACP_c + co2_c,2.3.1.86
4HTHRS,4-Hydroxy-L-threonine synthase,h2o_c + phthr_c <-> 4hthr_c + pi_c,4.2.3; 4.2.3.1
A5PISO,Arabinose-5-phosphate isomerase,ru5p__D_c <-> ara5p_c,5.3.1.13
AACPS6,Acyl-[acyl-carrier-protein] synthetase  (n-C18:0),ACP_c + atp_c + ocdca_c <-> amp_c + ocdcaACP_c + ppi_c,6.2.1.20
AACPS9,Acyl-[acyl-carrier-protein] synthetase  (n-C8:0),ACP_c + atp_c + octa_c <-> amp_c + ocACP_c + ppi_c,6.2.1.
ABTA,4-aminobutyrate transaminase,4abut_c + akg_c <-> glu__L_c + sucsal_c,2.6.1.19
ACACT2r,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),accoa_c + btcoa_c <-> 3ohcoa_c + coa_c,2.3.1.16; 2.3.1.9
ACACT3r,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),accoa_c + hxcoa_c <-> 3oocoa_c + coa_c,2.3.1.9
