"Abbreviation"	"Reaction"	"Description"	"Reaction_desc"
"R09772"	"C19880[c] + C00044[c] <=> C19881[c] + C00013[c]"	"GTP:D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase"	"D-glycero-alpha-D-manno-Heptose 1-phosphate + GTP <=> GDP-D-glycero-alpha-D-manno-heptose + Diphosphate"
"R11796"	"C00053[c] + C21669[c] <=> C00054[c] + C21671[c]"	"3'-phosphoadenylyl-sulfate:12-hydroxyjasmonate sulfotransferase"	"3'-Phosphoadenylyl sulfate + 12-Hydroxyjasmonate <=> Adenosine 3',5'-bisphosphate + 12-Sulfooxyjasmonate"
"R05338"	"C00199[c] + C00067[c] <=> C06019[c]"	"D-arabino-hex-3-ulose-6-phosphate formaldehyde-lyase (D-ribulose-5-phosphate-forming)"	"D-Ribulose 5-phosphate + Formaldehyde <=> D-arabino-Hex-3-ulose 6-phosphate"
"R03053"	"C01933[c] + C00026[c] <=> C00902[c] + C00025[c]"	"L-2-aminohexanoate:2-oxoglutarate aminotransferase"	"L-Norleucine + 2-Oxoglutarate <=> 2-Oxohexanoic acid + L-Glutamate"
"R06827"	"C03515[c] + C00167[c] <=> C12632[c] + C00015[c]"	"UDP-glucuronate:luteolin-7-O-beta-D-glucuronide 2''-O-glucuronosyltransferase"	"Luteolin 7-O-glucuronide + UDP-glucuronate <=> Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide] + UDP"
"R06738"	"C00745[c] <=> C06524[c]"	"X"	"Nicotine <=> Nornicotine"
"R08439"	"C21635[c] <=> C12162[c]"	"X"	"(4aR,10bS)-Normaritidine <=> Crinine"
"R09651"	"C19784[c] + C00001[c] <=> C19702[c] + C00033[c]"	"1-O-(2-acetamido-2-deoxy-alpha-D-glucopyranosyl)-1D-myo-inositol acetylhydrolase"	"1-O-(2-Acetamido-2-deoxy-alpha-D-glucopyranosyl)-1D-myo-inositol + H2O <=> 1-O-(2-Amino-2-deoxy-alpha-D-glucopyranosyl)-1D-myo-inositol + Acetate"
"R10720"	"2 C12115[c] + C06809[c] + 2 C00007[c] <=> C20799[c] + 4 C00001[c] + C00011[c]"	"3-amino-4-hydroxybenzoate:N-acetyl-L-cysteine:oxygen oxidoreductase"	"2 3-Amino-4-hydroxybenzoate + Acetylcysteine + 2 Oxygen <=> Grixazone B + 4 H2O + CO2"
"R04703"	"C05191[c] + C00007[c] + C00080[c] <=> C06162[c] + C00027[c]"	"dihydrosanguinarine:oxygen oxidoreductase"	"Dihydrosanguinarine + Oxygen + H+ <=> Sanguinarine + Hydrogen peroxide"
"R07725"	"C10208[c] <=> C10200[c]"	"X"	"Daidzein <=> Anhydroglycinol"
"R11516"	"C21430[c] + 8 C00083[c] <=> C12441[c] + 8 C00011[c] + 8 C00010[c]"	"malonyl-CoA:malonamoyl-[acyl-carrier protein] malonyltransferase"	"Malonamoyl-[acyl-carrier protein] + 8 Malonyl-CoA <=> 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp] + 8 CO2 + 8 CoA"
"R12736"	"C00223[c] + C22371[c] <=> C08472[c] + C00010[c]"	"hydroxycinnamoyl-CoA:5-hydroxyanthranilate N-hydroxycinnamoyltransferase"	"p-Coumaroyl-CoA + 5-Hydroxyanthranilate <=> Avenanthramide A + CoA"
"R03896"	"C02612[c] <=> C02226[c] + C00001[c]"	"(R)-2-methylmalate hydro-lyase (2-methylmaleate-forming)"	"(R)-2-Methylmalate <=> 2-Methylmaleate + H2O"
"R07969"	"C16358[c] + C00004[c] + C00080[c] + C00007[c] <=> C00385[c] + C00003[c] + C00067[c] + C00001[c]"	"1-methylxanthine:oxygen oxidoreductase (N1-demethylating)"	"1-Methylxanthine + NADH + H+ + Oxygen <=> Xanthine + NAD+ + Formaldehyde + H2O"
"R06080"	"G01318 + C00001[c] <=> C00267[c] + C00031[c]"	"X"	"G01318 + H2O <=> alpha-D-Glucose + D-Glucose"
"R09792"	"C00019[c] + C19896[c] <=> C00021[c] + C19895[c]"	"S-adenosyl-L-methionine:flavonoid 4'-O-methyltransferase"	"S-Adenosyl-L-methionine + 4'-Hydroxyflavanone <=> S-Adenosyl-L-homocysteine + 4'-Methoxyflavanone"
"R13288"	"C22890[c] <=> C00633[c] + C00033[c]"	"X"	"3-Hydroxy-3-(4-hydroxyphenyl)propanoate <=> 4-Hydroxybenzaldehyde + Acetate"
"R05845"	"C11678[c] + C00080[c] <=> C11679[c] + C00001[c]"	"X"	"Dialdehyde + H+ <=> 4,21-Dehydrocorynantheine aldehyde + H2O"
"R04342"	"C12208[c] + C03024[c] + C00007[c] <=> C00852[c] + C03161[c] + C00001[c]"	"trans-5-O-(4-coumaroyl)-D-quinate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3'-hydroxylating)"	"p-Coumaroyl quinic acid + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Chlorogenate + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R01860"	"C00568[c] <=> C00292[c] + C00011[c]"	"4-aminobenzoate carboxy-lyase"	"4-Aminobenzoate <=> Aniline + CO2"
"R11290"	"C17701[c] + C00003[c] <=> C21265[c] + C00004[c] + C00080[c]"	"gentamicin-A2:NAD+ 3''-oxidoreductase"	"Gentamicin A2 + NAD+ <=> 3''-Oxogentamicin A2 + NADH + H+"
"R04447"	"C04282[c] <=> C05942[c] + C00001[c]"	"X"	"1-Pyrroline-4-hydroxy-2-carboxylate <=> Pyrrole-2-carboxylate + H2O"
"R06747"	"C12470[c] + 2 C04253[c] <=> C12483[c] + 2 C04570[c]"	"L-prolyl-[peptidyl-carrier protein]:electron-transfer flavoprotein oxidoreductase"	"L-Prolyl-[pcp] + 2 Electron-transferring flavoprotein <=> Pyrrole-2-carbonyl-[pcp] + 2 Reduced electron-transferring flavoprotein"
"R07598"	"C00047[c] + C00007[c] + C00001[c] <=> C04076[c] + C00027[c] + C00014[c]"	"L-lysine:oxygen 6-oxidoreductase (deaminating)"	"L-Lysine + Oxygen + H2O <=> L-2-Aminoadipate 6-semialdehyde + Hydrogen peroxide + Ammonia"
"R12004"	"C21837[c] <=> C21838[c]"	"3-geranyl-3-[(Z)-2-isocyanoethenyl]-1H-indole cyclase (hapalindole H-forming)"	"3-Geranyl-3-[(Z)-2-isocyanoethenyl]-1H-indole <=> Hapalindole H"
"R00688"	"C00079[c] + C00001[c] + C00003[c] <=> C00166[c] + C00014[c] + C00004[c] + C00080[c]"	"L-phenylalanine:NAD+ oxidoreductase (deaminating)"	"L-Phenylalanine + H2O + NAD+ <=> Phenylpyruvate + Ammonia + NADH + H+"
"R01917"	"C00002[c] + C00051[c] + C00315[c] <=> C00008[c] + C00009[c] + C05730[c]"	"gamma-L-glutamyl-L-cysteinyl-glycine:spermidine ligase (ADP-forming)"	"ATP + Glutathione + Spermidine <=> ADP + Orthophosphate + Glutathionylspermidine"
"R07729"	"C00858[c] + C00029[c] <=> C10509[c] + C00015[c]"	"UDP-glucose:isoflavone 7-O-beta-D-glucosyltransferase"	"Formononetin + UDP-glucose <=> Ononin + UDP"
