bigg_id,name,reaction_string,kegg_reactions
23PDE2pp,"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)",23cump_p + h2o_p <-> 3ump_p + h_p,R03538
23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",23cgmp_p + h2o_p <-> 3gmp_p + h_p,R05135
3HAD160,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),3hpalmACP_c <-> h2o_c + tpalm2eACP_c,R04544
3HAD180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),3hoctaACP_c <-> h2o_c + toctd2eACP_c,R07764
3HAD80,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),3hoctACP_c <-> h2o_c + toct2eACP_c,R04537
3KGK,3-keto-L-gulonate kinase,3dhguln_c + atp_c <-> 3dhgulnp_c + adp_c + h_c,R07127
3NTD2pp,3'-nucleotidase (UMP) (periplasm),3ump_p + h2o_p <-> pi_p + uri_p,R01877
3NTD9pp,3'-nucleotidase (GMP) (periplasm),3gmp_p + h2o_p <-> gsn_p + pi_p,R02148
3OAR120,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),3oddecACP_c + h_c + nadph_c <-> 3hddecACP_c + nadp_c,R04964
3OAR160,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),3opalmACP_c + h_c + nadph_c <-> 3hpalmACP_c + nadp_c,R04543
4HTHRS,4-Hydroxy-L-threonine synthase,h2o_c + phthr_c <-> 4hthr_c + pi_c,R05086
A5PISO,Arabinose-5-phosphate isomerase,ru5p__D_c <-> ara5p_c,R01530
ABTA,4-aminobutyrate transaminase,4abut_c + akg_c <-> glu__L_c + sucsal_c,R01648
ACACT2r,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),accoa_c + btcoa_c <-> 3ohcoa_c + coa_c,R01177
ACACT4r,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),accoa_c + occoa_c <-> 3odcoa_c + coa_c,R03778
ACBIPGT,Adenosyl cobinamide phosphate guanyltransferase,adocbip_c + gtp_c + h_c <-> agdpcbi_c + ppi_c,R05222
ACGS,N-acetylglutamate synthase,accoa_c + glu__L_c <-> acglu_c + coa_c + h_c,R00259
ACLS,Acetolactate synthase,h_c + 2.0 pyr_c <-> alac__S_c + co2_c,R00226
ACMAMUT,UDP-N-acetyl-D-mannosaminuronic acid transferase,uacmamu_c + unaga_c <-> h_c + udp_c + unagamu_c,R04477
ACNML,N-Acetylneuraminate lyase,acnam_c <-> acmana_c + pyr_c,R01811
ACOAD1f,Acyl-CoA dehydrogenase (butanoyl-CoA),btcoa_c + fad_c <-> b2coa_c + fadh2_c,R01175
ACOAD5f,Acyl-CoA dehydrogenase (dodecanoyl-CoA),ddcacoa_c + fad_c <-> dd2coa_c + fadh2_c,R03857
ACOAD7f,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),fad_c + pmtcoa_c <-> fadh2_c + hdd2coa_c,R01279
ACOATA,Acetyl-CoA ACP transacylase,ACP_c + accoa_c <-> acACP_c + coa_c,R01624
ACODA,Acetylornithine deacetylase,acorn_c + h2o_c <-> ac_c + orn_c,R00669
ACONIs,Aconitate isomerase (spontaneous),acon_T_c <-> acon_C_c,R02244
ACONMT,Trans-aconitate methyltransferase,acon_T_c + amet_c <-> aconm_c + ahcys_c,R05763
ACOTA,Acetylornithine transaminase,acorn_c + akg_c <-> acg5sa_c + glu__L_c,R02283
ADCL,4-aminobenzoate synthase,4adcho_c <-> 4abz_c + h_c + pyr_c,R05553
ADCS,4-amino-4-deoxychorismate synthase,chor_c + gln__L_c <-> 4adcho_c + glu__L_c,R01716
ADD,Adenine deaminase,ade_c + h_c + h2o_c <-> hxan_c + nh4_c,R01244
ADNCYC,Adenylate cyclase,atp_c <-> camp_c + ppi_c,R00089
ADNK1,Adenosine kinase,adn_c + atp_c <-> adp_c + amp_c + h_c,R00185
ADNUC,Adenosine hydrolase,adn_c + h2o_c <-> ade_c + rib__D_c,R01245
ADOCBLS,Adenosylcobalamin 5'-phosphate synthase,agdpcbi_c + rdmbzi_c <-> adocbl_c + gmp_c + h_c,R05223
ADPT,Adenine phosphoribosyltransferase,ade_c + prpp_c <-> amp_c + ppi_c,R00190
ADSK,Adenylyl-sulfate kinase,aps_c + atp_c <-> adp_c + h_c + paps_c,R00509
ADSS,Adenylosuccinate synthase,asp__L_c + gtp_c + imp_c <-> dcamp_c + gdp_c + 2.0 h_c + pi_c,R01135
AGMT,Agmatinase,agm_c + h2o_c <-> ptrc_c + urea_c,R01157
ALAALAr,D-alanine-D-alanine ligase (reversible),2.0 ala__D_c + atp_c <-> adp_c + alaala_c + h_c + pi_c,R01150
ALATA_D2,D-alanine transaminase,ala__D_c + pydx5p_c <-> pyam5p_c + pyr_c,R01147
ALATA_L,L-alanine transaminase,akg_c + ala__L_c <-> glu__L_c + pyr_c,R00258
ALCD2x,Alcohol dehydrogenase (ethanol),etoh_c + nad_c <-> acald_c + h_c + nadh_c,R00754
ALLK,Allose kinase,all__D_c + atp_c <-> adp_c + all6p_c + h_c,R03576
ALTRH,Altronate hydrolase,altrn_c <-> 2ddglcn_c + h2o_c,R01540
AMANAPEr,N-acetylmannosamine 6-phosphate epimerase,acmanap_c <-> acgam6p_c,R02087
AMANK,N-acetyl-D-mannosamine kinase,acmana_c + atp_c <-> acmanap_c + adp_c + h_c,R02705
AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase,8aonn_c + amet_c <-> amob_c + dann_c,R03231
ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c <-> ppi_c + pran_c,R01073
AP5AH,Ap5A hydrolase,ap5a_c + h2o_c <-> adp_c + atp_c + 2.0 h_c,R09880
ARGDC,Arginine decarboxylase,arg__L_c + h_c <-> agm_c + co2_c,R00566
ARGDCpp,Arginine decarboxylase,arg__L_p + h_p <-> agm_p + co2_p,R00566
ARGSS,Argininosuccinate synthase,asp__L_c + atp_c + citr__L_c <-> amp_c + argsuc_c + h_c + ppi_c,R01954
ARGTRS,Arginyl-tRNA synthetase,arg__L_c + atp_c + trnaarg_c <-> amp_c + argtrna_c + ppi_c,R03646
ASAD,Aspartate-semialdehyde dehydrogenase,aspsa_c + nadp_c + pi_c <-> 4pasp_c + h_c + nadph_c,R02291
ASCBPL,L-ascorbate 6-phosphate lactonase,ascb6p_c + h2o_c <-> 3dhgulnp_c + h_c,R07677
ASNN,L-asparaginase,asn__L_c + h2o_c <-> asp__L_c + nh4_c,R00485
ASNS2,Asparagine synthetase,asp__L_c + atp_c + nh4_c <-> amp_c + asn__L_c + h_c + ppi_c,R00483
ASPT,L-aspartase,asp__L_c <-> fum_c + nh4_c,R00490
